año,pais,c.poblacion,pibpc,desempleo,expect.vida,acc.electricidad
2003,Brazil,1.18566943930002,3056.64968001868,11.17,70.72,96.980098
2003,Colombia,1.48113157054236,2305.17050671011,14.19,72.361,95.0771865844727
2004,Costa Rica,1.52086528848105,4376.08042847261,6.39,78.331,98.954779
2004,United States,0.925483968943482,41724.6316287624,5.53,77.4878048780488,100.0
2004,Mexico,1.4696529746789,7525.4874609367,3.94,74.372,98.597701
2004,Canada,0.933020777495183,32143.6814078562,7.19,79.9921951219512,100.0
2004,Bolivia,1.73917027368374,951.951622939377,2.503,64.004,75.865852355957
2004,"Venezuela, RB",1.71089322511207,4287.63157891057,15.07,72.514,99.1
2004,Paraguay,1.17127562545308,1776.93225816866,6.51,70.481,93.249876
2004,Uruguay,0.10866542041562,4130.1001146777,12.98,76.007,97.9553527832031
2004,Ecuador,1.73957986039204,2703.56567057465,5.0,74.279,94.7642669677734
2004,Peru,0.974731754515074,2393.66589710452,4.71,72.668,75.692357
2004,Chile,0.996674255969576,6185.51479184893,10.16,77.616,97.5337295532227
2004,Argentina,1.01533668354561,4258.16026060875,13.52,74.855,96.50537109375
2004,Brazil,1.13939301199192,3623.22390486815,10.07,71.131,96.765107
2004,Colombia,1.42817053070487,2811.45945015998,13.72,72.695,95.2788009643555
2005,Costa Rica,1.47252758666781,4643.45856992587,6.57,78.505,99.053051
2005,United States,0.921713167161207,44123.4070679055,5.08,77.4878048780488,100.0
2005,Mexico,1.42951167105736,8321.85985639121,3.56,74.376,98.932728
2005,Canada,0.944466927450734,36382.5079164537,6.76,80.1126829268293,100.0
2005,Bolivia,1.7329882488039,1018.31366190632,2.543,64.386,68.288209
2005,"Venezuela, RB",1.67071492636166,5456.32242533255,10.66,72.782,98.7767562866211
2005,Paraguay,1.11178740173656,1960.51476554933,4.82,70.527,94.686886
2005,Uruguay,0.116535331321663,5233.45717058668,12.01,76.194,98.0474090576172
2005,Ecuador,1.72443317741318,3014.3100093159,3.78,74.514,95.83265
2005,Peru,0.904184155760706,2702.23770075461,4.87,72.986,77.173645
2005,Chile,0.97751001174206,7561.8305480446,9.34,78.016,97.6824645996094
2005,Argentina,1.03347622351885,5086.62776073134,11.51,75.139,96.7252655029297
2005,Brazil,1.11720287765336,4773.26848028038,10.55,71.753,97.093513
2005,Colombia,1.36565233876962,3448.53827356214,11.87,73.081,96.8
